Algorithm,Cost_UPR,Peak_UPR,Time
Barot Outer,-33.59899932907482,-44.91481317381674,0.0
Inner Homothets,-33.59899932907492,-44.91481317381674,21.657574892044067
Zonotope,-33.5989993290748,-44.91481317381674,17.851373195648193
Barot Inner,790.4295389113577,623.3637244012276,0.7712244987487793
Inner Affine,-33.59899927452868,-44.91475001184415,4.633504390716553
JCC-SRO,-42.6171209988808,-44.91412152754682,1.2386236190795898
JCC-Re-SRO,-42.6171209988808,-44.91412152754682,417.56211256980896
