True_Temperature,Predicted_Temperature,Error
16.18,16.39232893625895,0.21232893625895066
14.023333333333333,14.200195973714193,0.1768626403808593
13.498333333333333,15.26198897043864,1.7636556371053063
13.508333333333333,13.594208488464355,0.0858751551310224
13.631666666666666,13.47380785624186,-0.15785881042480554
13.241666666666667,13.669695103963216,0.4280284372965486
12.811666666666667,13.400091501871744,0.5884248352050765
12.361666666666666,13.331271273295084,0.9696046066284172
11.648333333333333,13.603548469543458,1.955215136210124
11.058333333333332,11.343849372863769,0.28551603953043614
11.061666666666667,11.988055292765301,0.9263886260986336
10.971666666666666,11.089894421895345,0.11822775522867879
10.938333333333333,11.74223745981852,0.8039041264851878
10.753333333333332,11.059274851481119,0.3059415181477867
10.51,11.002604497273762,0.49260449727376177
10.468333333333334,11.011444574991863,0.5431112416585293
10.611666666666666,12.142788480122885,1.5311218134562186
10.696666666666667,12.016158345540365,1.319491678873698
11.435,11.703986600240071,0.2689866002400709
12.263333333333334,12.960340194702148,0.6970068613688145
12.186666666666667,12.80956164042155,0.6228949737548835
11.205,11.875641098022463,0.6706410980224629
8.313333333333333,10.03527737935384,1.721944046020508
9.728333333333333,10.189227600097656,0.4608942667643223
10.770000000000001,10.54145362854004,-0.22854637145996115
11.505,12.783301493326825,1.2783014933268229
10.910000000000002,13.047604592641196,2.1376045926411953
10.03,10.290431671142578,0.2604316711425776
9.283333333333333,9.45305601755778,0.16972268422444614
9.221666666666666,9.088387800852455,-0.13327886581420945
9.416666666666666,9.819591636657714,0.402924969991048
9.803333333333333,10.539673169453938,0.7363398361206057
9.83,10.701327699025473,0.8713276990254721
9.896666666666667,12.293971163431802,2.3973044967651367
9.831666666666665,10.084718132019042,0.2530514653523763
9.561666666666666,9.970477231343587,0.4088105646769211
9.546666666666667,10.55646157582601,1.0097949091593428
9.581666666666665,10.143164037068683,0.5614973704020185
9.508333333333333,8.718511276245117,-0.789822057088216
9.288333333333334,9.529309997558594,0.24097666422525954
9.645000000000001,10.0786047744751,0.43360477447509727
10.393333333333333,10.928835945129393,0.5355026117960611
11.448333333333332,12.519515024820963,1.0711816914876302
12.125,11.70453904469808,-0.4204609553019205
12.918333333333335,13.980567277272543,1.062233943939209
13.63,14.664947458902995,1.0349474589029948
13.861666666666666,14.43244447072347,0.5707778040568035
13.915,14.301074918111166,0.38607491811116557
14.143333333333333,14.364150962829589,0.22081762949625627
13.533333333333333,13.591100565592448,0.057767232259115175
12.976666666666667,13.184265734354653,0.20759906768798775
12.371666666666668,12.40095293680827,0.029286270141601456
11.14,11.815520381927492,0.6755203819274902
10.086666666666666,9.800795402526855,-0.2858712641398107
9.521666666666667,9.584452718098959,0.06278605143229132
8.743333333333334,8.636716944376628,-0.10661638895670578
7.830000000000001,7.6360406366984055,-0.19395936330159547
6.878333333333334,7.2760757573445645,0.3977424240112306
6.043333333333333,7.073299992879232,1.0299666595458985
5.566666666666666,4.773850072224935,-0.7928165944417316
5.181666666666667,6.757861824035644,1.5761951573689779
4.55,6.088698908487956,1.5386989084879557
4.295,5.103187192281087,0.8081871922810873
4.168333333333333,5.442105553944906,1.2737722206115722
4.2716666666666665,4.929769306182861,0.6581026395161946
5.69,6.618060169219971,0.9280601692199707
8.503333333333332,10.084071350097656,1.580738016764323
10.996666666666668,12.710216852823894,1.7135501861572267
13.251666666666665,15.451016565958657,2.199349899291992
13.811666666666667,15.38978899637858,1.5781223297119142
14.456666666666669,15.536067562103273,1.079400895436605
14.92,15.266055393218995,0.3460553932189945
14.94,15.208452847798664,0.2684528477986654
14.263333333333334,14.399081573486328,0.1357482401529948
14.04,17.496899007161456,3.456899007161458
12.765,13.667616539001465,0.9026165390014649
13.656666666666666,13.29569439570109,-0.36097227096557605
14.235,13.826475817362468,-0.40852418263753254
14.549999999999999,14.498102823893229,-0.05189717610677036
14.743333333333334,15.353327058156331,0.6099937248229981
15.331666666666665,15.557629820505777,0.22596315383911136
15.840000000000002,15.868073972066245,0.028073972066243513
15.331666666666665,15.860854969024658,0.5291883023579915
14.718333333333334,14.419693806966148,-0.2986395263671868
13.818333333333333,13.92427200317383,0.10593866984049605
13.275,12.892609151204427,-0.3823908487955734
13.04,13.096691716512044,0.05669171651204419
13.13,13.160851790110272,0.03085179011026984
13.066666666666668,13.086784324645997,0.02011765797932874
12.921666666666667,13.45438772201538,0.5327210553487136
11.996666666666668,12.588855063120526,0.5921883964538575
12.336666666666666,13.260974470774332,0.924307804107666
12.565,15.605212694803873,3.0402126948038735
12.705,17.188868675231934,4.4838686752319346
12.795,14.431600074768067,1.6366000747680662
11.875,14.433783391316732,2.558783391316732
11.598333333333334,12.587221349080405,0.9888880157470703
11.776666666666666,12.384557196299234,0.6078905296325683
11.698333333333332,10.431935316721598,-1.2663980166117348
12.135,12.363387769063314,0.22838776906331404
12.464999999999998,12.726658236185708,0.2616582361857098
13.098333333333334,13.149057458241781,0.050724124908447354
14.26,15.954567146301269,1.6945671463012697
14.775,15.451001841227214,0.6760018412272135
15.64,15.346465441385906,-0.29353455861409516
15.985,14.672525011698404,-1.3124749883015951
15.799999999999999,16.113073743184405,0.31307374318440573
15.648333333333333,16.00123690923055,0.352903575897217
15.351666666666667,15.44502016067505,0.09335349400838222
14.844999999999999,14.662915465037027,-0.18208453496297228
14.588333333333333,14.120540262858071,-0.46779307047526064
14.195,14.608464953104654,0.41346495310465503
14.21,14.303289267222087,0.09328926722208664
14.325000000000001,14.587035700480143,0.26203570048014324
14.303333333333333,16.153186785380043,1.8498534520467125
14.286666666666667,16.679109547932942,2.3924428812662764
